name,price_oil,price_gap,thoi_gian
Xăng RON 95-III,20.790,350,2019-11-15
Xăng E5 RON 92-II,19.500,250,2019-11-15
"Dầu DO 0,05S-II",15.960,-90,2019-11-15
Dầu KO,14.960,-170,2019-11-15
Xăng RON 95-III,20.440,-350,2019-10-31
Xăng E5 RON 92-II,19.250,-220,2019-10-31
"Dầu DO 0,05S-II",16.050,-170,2019-10-31
Dầu KO,15.130,-120,2019-10-31
Xăng RON 95-III,20.790,-270,2019-10-16
Xăng E5 RON 92-II,19.470,-310,2019-10-16
"Dầu DO 0,05S-II",16.220,-410,2019-10-16
Dầu KO,15.250,-530,2019-10-16
Xăng RON 95-III,21.060,920,2019-10-01
Xăng E5 RON 92-II,19.780,670,2019-10-01
"Dầu DO 0,05S-II",16.630,430,2019-10-01
Dầu KO,15.780,420,2019-10-01
Xăng RON 95-III,20.140,-90,2019-09-16
Xăng E5 RON 92-II,19.110,-110,2019-09-16
"Dầu DO 0,05S-II",16.200,-130,2019-09-16
Dầu KO,15.360,40,2019-09-16
Xăng RON 95-III,20.230,-170,2019-08-31
Xăng E5 RON 92-II,19.220,-130,2019-08-31
"Dầu DO 0,05S-II",16.330,-170,2019-08-31
Dầu KO,15.320,-70,2019-08-31
Xăng RON 95-III,20.400,-510,2019-08-16
Xăng E5 RON 92-II,19.350,-550,2019-08-16
"Dầu DO 0,05S-II",16.500,-520,2019-08-16
Dầu KO,15.390,-570,2019-08-16
Xăng RON 95-III,20.910,-320,2019-08-01
Xăng E5 RON 92-II,19.900,-370,2019-08-01
"Dầu DO 0,05S-II",17.020,30,2019-08-01
Dầu KO,15.960,10,2019-08-01
Xăng RON 95-III,21.230,720,2019-07-17
Xăng E5 RON 92-II,20.270,620,2019-07-17
"Dầu DO 0,05S-II",16.990,50,2019-07-17
Dầu KO,15.950,20,2019-07-17
Xăng RON 95-III,20.510,380,2019-07-02
Xăng E5 RON 92-II,19.650,420,2019-07-02
"Dầu DO 0,05S-II",16.940,290,2019-07-02
Dầu KO,15.930,320,2019-07-02
Xăng RON 95-III,20.130,-1.080,2019-06-17
Xăng E5 RON 92-II,19.230,-980,2019-06-17
"Dầu DO 0,05S-II",16.650,-740,2019-06-17
Dầu KO,15.610,-610,2019-06-17
Xăng RON 95-III,21.210,-380,2019-06-01
Xăng E5 RON 92-II,20.210,-270,2019-06-01
"Dầu DO 0,05S-II",17.390,-220,2019-06-01
Dầu KO,16.220,-200,2019-06-01
Xăng RON 95-III,21.590,-600,2019-05-17
Xăng E5 RON 92-II,20.480,-200,2019-05-17
"Dầu DO 0,05S-II",17.610,-80,2019-05-17
Dầu KO,16.420,-200,2019-05-17
Xăng RON 95-III,22.190,960,2019-05-02
Xăng E5 RON 92-II,20.680,980,2019-05-02
"Dầu DO 0,05S-II",17.690,310,2019-05-02
Dầu KO,16.620,360,2019-05-02
Xăng RON 95-III,21.230,1.200,2019-04-17
Xăng E5 RON 92-II,19.700,1.120,2019-04-17
"Dầu DO 0,05S-II",17.380,300,2019-04-17
Dầu KO,16.260,290,2019-04-17
Xăng RON 95-III,20.030,1.490,2019-04-02
Xăng E5 RON 92-II,18.580,1.370,2019-04-02
"Dầu DO 0,05S-II",17.080,1.220,2019-04-02
Dầu KO,15.970,1.090,2019-04-02
Xăng RON 95-III,18.540,0,2019-03-18
Xăng E5 RON 92-II,17.210,0,2019-03-18
"Dầu DO 0,05S-II",15.860,0,2019-03-18
Dầu KO,14.880,0,2019-03-18
Xăng RON 95-III,18.540,940,2019-03-02
Xăng E5 RON 92-II,17.210,940,2019-03-02
"Dầu DO 0,05S-II",15.860,960,2019-03-02
Dầu KO,14.880,700,2019-03-02
Xăng RON 95-III,17.600,0,2019-02-15
Xăng E5 RON 92-II,16.270,0,2019-02-15
"Dầu DO 0,05S-II",14.900,0,2019-02-15
Dầu KO,14.180,0,2019-02-15
Xăng RON 95-III,17.600,0,2019-01-31
Xăng E5 RON 92-II,16.270,0,2019-01-31
"Dầu DO 0,05S-II",14.900,0,2019-01-31
Dầu KO,14.180,0,2019-01-31
Xăng RON 95-III,17.600,0,2019-01-16
Xăng E5 RON 92-II,16.270,0,2019-01-16
"Dầu DO 0,05S-II",14.900,0,2019-01-16
Dầu KO,14.180,0,2019-01-16
Xăng RON 95-IV,17.800,-540,2019-01-01
Xăng RON 95-III,17.600,-540,2019-01-01
Xăng E5 RON 92-II,16.270,-510,2019-01-01
"Dầu DO 0,005S-IV",14.950,-1.100,2019-01-01
Xăng RON 95-IV,18.340,-310,2018-12-21
Xăng RON 95-III,18.140,-310,2018-12-21
Xăng E5 RON 92-II,16.780,-400,2018-12-21
"Dầu DO 0,005S-IV",16.050,-250,2018-12-21
Xăng RON 95-IV,18.650,-1.520,2018-12-06
Xăng RON 95-III,18.450,-1.520,2018-12-06
Xăng E5 RON 92-II,17.180,-1.440,2018-12-06
"Dầu DO 0,005S-IV",16.300,-1.380,2018-12-06
Xăng RON 95-IV,20.170,-1.090,2018-11-21
Xăng RON 95-III,19.970,-1.090,2018-11-21
Xăng E5 RON 92-II,18.620,-980,2018-11-21
"Dầu DO 0,005S-IV",17.680,-910,2018-11-21
Xăng RON 95-IV,21.260,-1.140,2018-11-06
Xăng RON 95-III,21.060,-1.140,2018-11-06
Xăng E5 RON 92-II,19.600,-1.080,2018-11-06
"Dầu DO 0,005S-IV",18.590,-70,2018-11-06
Xăng RON 95-IV,22.400,-140,2018-10-22
Xăng RON 95-III,22.200,-140,2018-10-22
Xăng E5 RON 92-II,20.680,-220,2018-10-22
"Dầu DO 0,005S-IV",18.660,0,2018-10-22
Xăng RON 95-IV,22.540,570,2018-10-06
Xăng RON 95-III,22.340,570,2018-10-06
Xăng E5 RON 92-II,20.900,670,2018-10-06
"Dầu DO 0,005S-IV",18.660,490,2018-10-06
Xăng RON 95-IV,21.970,300,2018-09-21
Xăng RON 95-III,21.770,300,2018-09-21
Xăng E5 RON 92-II,20.230,320,2018-09-21
"Dầu DO 0,005S-IV",18.170,60,2018-09-21
Xăng RON 95-IV,21.670,300,2018-09-06
Xăng RON 95-III,21.470,300,2018-09-06
Xăng E5 RON 92-II,19.910,300,2018-09-06
"Dầu DO 0,005S-IV",18.110,380,2018-09-06
